scenario_point,SGCT
"scenario_label=clustered,ber=0.0",1395.8600
"scenario_label=clustered,ber=0.0001",1395.5400
"scenario_label=clustered,ber=0.001",1394.1400
"scenario_label=clustered,ber=1e-05",1397.7400
"scenario_label=dispersed,ber=0.0",462.6200
"scenario_label=dispersed,ber=0.0001",1187.2800
"scenario_label=dispersed,ber=0.001",1814.8800
"scenario_label=dispersed,ber=1e-05",973.9400
"scenario_label=prefix80,ber=0.0",257.0000
"scenario_label=prefix80,ber=0.0001",257.0000
"scenario_label=prefix80,ber=0.001",257.0000
"scenario_label=prefix80,ber=1e-05",257.0000
"scenario_label=random,ber=0.0",949.4800
"scenario_label=random,ber=0.0001",948.5800
"scenario_label=random,ber=0.001",948.2000
"scenario_label=random,ber=1e-05",953.1600
"scenario_label=sequential,ber=0.0",158.0000
"scenario_label=sequential,ber=0.0001",158.0000
"scenario_label=sequential,ber=0.001",158.0000
"scenario_label=sequential,ber=1e-05",158.0000
