scenario_point,DRCT
"scenario_label=clustered,TOTAL_TAGS=1000",157.4757
"scenario_label=clustered,TOTAL_TAGS=10000",1623.9926
"scenario_label=clustered,TOTAL_TAGS=2000",318.0742
"scenario_label=clustered,TOTAL_TAGS=3000",479.6440
"scenario_label=clustered,TOTAL_TAGS=5000",804.4875
"scenario_label=clustered,TOTAL_TAGS=7000",1131.5971
"scenario_label=prefixed,TOTAL_TAGS=1000",138.7273
"scenario_label=prefixed,TOTAL_TAGS=10000",1435.1271
"scenario_label=prefixed,TOTAL_TAGS=2000",280.2525
"scenario_label=prefixed,TOTAL_TAGS=3000",422.6818
"scenario_label=prefixed,TOTAL_TAGS=5000",710.2924
"scenario_label=prefixed,TOTAL_TAGS=7000",999.2410
"scenario_label=random,TOTAL_TAGS=1000",69.3829
"scenario_label=random,TOTAL_TAGS=10000",736.8581
"scenario_label=random,TOTAL_TAGS=2000",141.0732
"scenario_label=random,TOTAL_TAGS=3000",214.1194
"scenario_label=random,TOTAL_TAGS=5000",361.0677
"scenario_label=random,TOTAL_TAGS=7000",510.3213
"scenario_label=sequential,TOTAL_TAGS=1000",192.0350
"scenario_label=sequential,TOTAL_TAGS=10000",1920.3070
"scenario_label=sequential,TOTAL_TAGS=2000",384.0540
"scenario_label=sequential,TOTAL_TAGS=3000",576.0870
"scenario_label=sequential,TOTAL_TAGS=5000",960.1970
"scenario_label=sequential,TOTAL_TAGS=7000",1344.2290
