BINARY_LENGTH,scenario_label,TOTAL_TAGS,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,peak_unidentified_tags_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
96,random,1000,random,"scenario_label=random,TOTAL_TAGS=1000",0.000000,True,True,formal_sgct_scalability,3039155335,3581575634,1634068.750000,30701.000000,727259.000000,3433,82322.633750,425.031500,82747.665250,1000,1000,1045,925,,,,,,,,,,,,,,,,,,,,4.051000,,611.969356,DQTA(k_max=3),0,19.000000,,,,,,,,,,2970,0.336700,727.259000,30.701000,757960.000000,757.960000,1.081081,1634.068750,,,,,,
96,random,2000,random,"scenario_label=random,TOTAL_TAGS=2000",0.000000,True,True,formal_sgct_scalability,1789125192,2868313360,3224753.750000,61290.000000,1564911.000000,6948,321562.487625,905.035500,322467.523125,2000,2000,2243,1803,,,,,,,,,,,,,,,,,,,,4.381000,,620.202395,DQTA(k_max=3),0,21.000000,,,,,,,,,,6046,0.330797,782.455500,30.645000,1626201.000000,813.100500,1.109262,3224.753750,,,,,,
96,random,3000,random,"scenario_label=random,TOTAL_TAGS=3000",0.000000,True,True,formal_sgct_scalability,3357382508,3672527182,4778436.250000,92150.000000,2436433.000000,10156,718960.615375,1402.516500,720363.131875,3000,3000,3167,2659,,,,,,,,,,,,,,,,,,,,4.561000,,627.820451,DQTA(k_max=3),0,23.000000,,,,,,,,,,8826,0.339905,812.144333,30.716667,2528583.000000,842.861000,1.128244,4778.436250,,,,,,
96,random,5000,random,"scenario_label=random,TOTAL_TAGS=5000",0.000000,True,True,formal_sgct_scalability,2672749671,1735091476,8018541.250000,159507.000000,4261028.000000,16842,2019239.875250,2449.528000,2021689.403250,5000,5000,5102,4493,,,,,,,,,,,,,,,,,,,,4.806600,,623.554814,DQTA(k_max=3),0,25.000000,,,,,,,,,,14595,0.342583,852.205600,31.901400,4420535.000000,884.107000,1.112842,8018.541250,,,,,,
96,random,7000,random,"scenario_label=random,TOTAL_TAGS=7000",0.000000,True,True,formal_sgct_scalability,2446340339,2688097027,11393036.250000,231466.000000,6161352.000000,24044,4007826.091500,3543.608000,4011369.699500,7000,7000,7385,6439,,,,,,,,,,,,,,,,,,,,4.978429,,614.410404,DQTA(k_max=3),0,28.000000,,,,,,,,,,20824,0.336151,880.193143,33.066571,6392818.000000,913.259714,1.087125,11393.036250,,,,,,
96,random,10000,random,"scenario_label=random,TOTAL_TAGS=10000",0.000000,True,True,formal_sgct_scalability,2875982097,2678674353,16538947.500000,344037.000000,9142161.000000,35063,8272662.948375,5259.154500,8277922.102875,10000,10000,10913,9433,,,,,,,,,,,,,,,,,,,,5.188800,,604.633396,DQTA(k_max=3),0,27.000000,,,,,,,,,,30346,0.329533,914.216100,34.403700,9486198.000000,948.619800,1.060108,16538.947500,,,,,,
96,prefixed,1000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=1000",0.000000,True,True,formal_sgct_scalability,2159848663,2434906216,1597885.000000,74093.000000,338399.000000,3450,80459.431750,317.385500,80776.817250,1000,1000,1080,913,,,,,,,,,,,,,,,,,,,,4.050000,,625.827265,DQTA(k_max=3),0,20.000000,,,,,,,48.000000,,,2993,0.334113,338.399000,74.093000,412492.000000,412.492000,1.095290,1597.885000,,,,,,
96,prefixed,2000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=2000",0.000000,True,True,formal_sgct_scalability,836339498,2126369274,3129261.250000,145724.000000,723443.000000,6840,313675.092250,653.169500,314328.261750,2000,2000,2171,1779,,,,,,,,,,,,,,,,,,,,4.376000,,639.128484,DQTA(k_max=3),0,22.000000,,,,,,,48.000000,,,5950,0.336134,361.721500,72.862000,869167.000000,434.583500,1.124227,3129.261250,,,,,,
96,prefixed,3000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=3000",0.000000,True,True,formal_sgct_scalability,4025402204,2347488646,4617320.000000,215700.000000,1120247.000000,10188,691750.003625,991.523500,692741.527125,3000,3000,3271,2611,,,,,,,,,,,,,,,,,,,,4.549000,,649.727548,DQTA(k_max=3),0,23.000000,,,,,,,48.000000,,,8882,0.337762,373.415667,71.900000,1335947.000000,445.315667,1.148985,4617.320000,,,,,,
96,prefixed,5000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=5000",0.000000,True,True,formal_sgct_scalability,2029457190,973060517,7967552.500000,380633.000000,1963164.000000,17196,1996873.354750,1742.848000,1998616.202750,5000,5000,5360,4557,,,,,,,,,,,,,,,,,,,,4.834000,,627.545284,DQTA(k_max=3),0,25.000000,,,,,,,48.000000,,,14917,0.335188,392.632800,76.126600,2343797.000000,468.759400,1.097213,7967.552500,,,,,,
96,prefixed,7000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=7000",0.000000,True,True,formal_sgct_scalability,2371542578,3466509052,11168742.500000,537074.000000,2815511.000000,23963,3915756.820250,2481.903500,3918238.723750,7000,7000,7364,6399,,,,,,,,,,,,,,,,,,,,4.977571,,626.749162,DQTA(k_max=3),0,26.000000,,,,,,,48.000000,,,20763,0.337138,402.215857,76.724857,3352585.000000,478.940714,1.093921,11168.742500,,,,,,
96,prefixed,10000,prefixed,"scenario_label=prefixed,TOTAL_TAGS=10000",0.000000,True,True,formal_sgct_scalability,849440901,994619819,16260662.500000,789586.000000,4153045.000000,34928,8111361.087625,3655.694500,8115016.782125,10000,10000,10895,9355,,,,,,,,,,,,,,,,,,,,5.175500,,614.981093,DQTA(k_max=3),0,26.000000,,,,,,,48.000000,,,30250,0.330579,415.304500,78.958600,4942631.000000,494.263100,1.068947,16260.662500,,,,,,
96,clustered,1000,clustered,"scenario_label=clustered,TOTAL_TAGS=1000",0.000000,True,True,formal_sgct_scalability,578934970,653683862,1605837.500000,86535.000000,492720.000000,3448,79526.174500,419.430000,79945.604500,1000,1000,1060,925,,,,,,,,,,,,,,,,,,,,4.805000,,622.728016,DQTA(k_max=3),0,18.000000,,,,,,,,8.000000,64.000000,2985,0.335008,492.720000,86.535000,579255.000000,579.255000,1.081081,1605.837500,,,,,,
96,clustered,2000,clustered,"scenario_label=clustered,TOTAL_TAGS=2000",0.000000,True,True,formal_sgct_scalability,500743155,1663228167,3213930.000000,175451.000000,923663.000000,6969,323584.945625,812.733500,324397.679125,2000,2000,2195,1849,,,,,,,,,,,,,,,,,,,,4.907000,,622.291089,DQTA(k_max=3),0,23.000000,,,,,,,,8.000000,64.000000,6044,0.330907,461.831500,87.725500,1099114.000000,549.557000,1.081666,3213.930000,,,,,,
96,clustered,3000,clustered,"scenario_label=clustered,TOTAL_TAGS=3000",0.000000,True,True,formal_sgct_scalability,419629398,593023126,4567617.500000,248008.000000,1597955.000000,10159,684622.132500,1294.993500,685917.126000,3000,3000,3260,2599,,,,,,,,,,,,,,,,,,,,5.423667,,656.797554,DQTA(k_max=3),0,20.000000,,,,,,,,8.000000,64.000000,8859,0.338639,532.651667,82.669333,1845963.000000,615.321000,1.154290,4567.617500,,,,,,
96,clustered,5000,clustered,"scenario_label=clustered,TOTAL_TAGS=5000",0.000000,True,True,formal_sgct_scalability,2125427388,3088057182,7715346.250000,426079.000000,2393920.000000,16684,1935011.314875,2049.118000,1937060.432875,5000,5000,5058,4417,,,,,,,,,,,,,,,,,,,,5.295600,,648.059055,DQTA(k_max=3),0,23.000000,,,,,,,,8.000000,64.000000,14475,0.345423,478.784000,85.215800,2819999.000000,563.999800,1.131990,7715.346250,,,,,,
96,clustered,7000,clustered,"scenario_label=clustered,TOTAL_TAGS=7000",0.000000,True,True,formal_sgct_scalability,2758533185,959879987,11176736.250000,624881.000000,3712028.000000,23763,3931277.651875,3105.776000,3934383.427875,7000,7000,7089,6449,,,,,,,,,,,,,,,,,,,,5.734000,,626.300902,DQTA(k_max=3),0,24.000000,,,,,,,,8.000000,64.000000,20538,0.340832,530.289714,89.268714,4336909.000000,619.558429,1.085440,11176.736250,,,,,,
96,clustered,10000,clustered,"scenario_label=clustered,TOTAL_TAGS=10000",0.000000,True,True,formal_sgct_scalability,2095488712,212795402,16124140.000000,903910.000000,5391392.000000,35080,8071152.003125,4503.516000,8075655.519125,10000,10000,11149,9287,,,,,,,,,,,,,,,,,,,,5.916700,,620.188115,DQTA(k_max=3),0,24.000000,,,,,,,,8.000000,64.000000,30436,0.328558,539.139200,90.391000,6295302.000000,629.530200,1.076774,16124.140000,,,,,,
96,sequential,1000,sequential,"scenario_label=sequential,TOTAL_TAGS=1000",0.000000,True,True,formal_sgct_scalability,789489594,3279661091,1862881.250000,134126.000000,33976.000000,2704,93268.157500,285.240000,93553.397500,1000,1000,1,1135,,,,,,,,,,,,,,,,,,,,3.992000,,536.802869,DQTA(k_max=3),0,21.000000,,,,,,,,,,2136,0.468165,33.976000,134.126000,168102.000000,168.102000,0.881057,1862.881250,,,,,,
