scenario_point,DRCT
"scenario_label=clustered,TOTAL_TAGS=1000",347.1464
"scenario_label=clustered,TOTAL_TAGS=10000",3059.1418
"scenario_label=clustered,TOTAL_TAGS=2000",644.8360
"scenario_label=clustered,TOTAL_TAGS=3000",938.8556
"scenario_label=clustered,TOTAL_TAGS=5000",1540.7949
"scenario_label=clustered,TOTAL_TAGS=7000",2146.7991
"scenario_label=prefixed,TOTAL_TAGS=1000",257.4868
"scenario_label=prefixed,TOTAL_TAGS=10000",2616.2600
"scenario_label=prefixed,TOTAL_TAGS=2000",511.3175
"scenario_label=prefixed,TOTAL_TAGS=3000",771.3762
"scenario_label=prefixed,TOTAL_TAGS=5000",1292.5175
"scenario_label=prefixed,TOTAL_TAGS=7000",1816.8535
"scenario_label=random,TOTAL_TAGS=1000",105.8745
"scenario_label=random,TOTAL_TAGS=10000",1162.2190
"scenario_label=random,TOTAL_TAGS=2000",217.3154
"scenario_label=random,TOTAL_TAGS=3000",331.4239
"scenario_label=random,TOTAL_TAGS=5000",564.8120
"scenario_label=random,TOTAL_TAGS=7000",801.2823
"scenario_label=sequential,TOTAL_TAGS=1000",264.6120
"scenario_label=sequential,TOTAL_TAGS=10000",2533.6800
"scenario_label=sequential,TOTAL_TAGS=2000",516.4560
"scenario_label=sequential,TOTAL_TAGS=3000",768.5900
"scenario_label=sequential,TOTAL_TAGS=5000",1273.5100
"scenario_label=sequential,TOTAL_TAGS=7000",1777.1700
