scenario_point,SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",3051.7400
"scenario_label=clustered,TOTAL_TAGS=10000",32895.5400
"scenario_label=clustered,TOTAL_TAGS=2000",6167.8600
"scenario_label=clustered,TOTAL_TAGS=3000",9312.7400
"scenario_label=clustered,TOTAL_TAGS=5000",15828.0800
"scenario_label=clustered,TOTAL_TAGS=7000",22522.3400
"scenario_label=prefixed,TOTAL_TAGS=1000",1989.5800
"scenario_label=prefixed,TOTAL_TAGS=10000",21415.9400
"scenario_label=prefixed,TOTAL_TAGS=2000",4055.0600
"scenario_label=prefixed,TOTAL_TAGS=3000",6131.2600
"scenario_label=prefixed,TOTAL_TAGS=5000",10365.9800
"scenario_label=prefixed,TOTAL_TAGS=7000",14712.2800
"scenario_label=random,TOTAL_TAGS=1000",1988.8400
"scenario_label=random,TOTAL_TAGS=10000",21419.3000
"scenario_label=random,TOTAL_TAGS=2000",4053.8400
"scenario_label=random,TOTAL_TAGS=3000",6133.9200
"scenario_label=random,TOTAL_TAGS=5000",10359.7000
"scenario_label=random,TOTAL_TAGS=7000",14703.7000
"scenario_label=sequential,TOTAL_TAGS=1000",1000.0000
"scenario_label=sequential,TOTAL_TAGS=10000",20000.0000
"scenario_label=sequential,TOTAL_TAGS=2000",2000.0000
"scenario_label=sequential,TOTAL_TAGS=3000",3000.0000
"scenario_label=sequential,TOTAL_TAGS=5000",9992.0000
"scenario_label=sequential,TOTAL_TAGS=7000",14000.0000
